"001","002","003","004","005"
"Garage municipal de Carleton-sur-Mer","48.1027169","-66.1139794"," 418-364-7073 ","G0C 1J0"
"Les Services Kopilab","48.5078566","-68.3859332"," 418-739-5550 ","G0K 1P0"
"LET de Saint-Alphonse","48.126841","-65.535594"," 418-388-2262 ","G0C 2V0"
"Déchetterie de Grande-Rivière","48.3955428","-64.5890283","  ","G0C 1V0"
"Garage municipal d'Escuminac","48.0545067","-66.6318892"," 418-865-3141 ","G0C 1N0"
"Garage municipal de Pointe-à-la-Croix","48.0555984","-66.7153802"," 418-788-2011 ","G0C 1L0"
"Sertek Informatique","48.3504278","-64.6616966","  ","G0C 1K0"
"Centre de tri Grande-Rivière","48.3785343","-64.5623423"," 418-385-4200 ","G0C 1V0"
"Déchetterie de Percé","48.4835507","-64.308182","  ","G0C 3G0"
"Déchetterie de Gascon","48.2055837","-64.896447","  ","G0C 1P0"
"Terrapure Environnement, Installation de Rimouki","48.4639559","-68.503548"," 418-725-5135 ","G5M 1B7"
"Moi Informatique","48.4660109","-68.5085234"," 418-721-5366 ","G5M 1B1"
"Carrefour Rimouski - Cominar-Électrobac","48.4674646","-68.5127089","  ","G5L 7Y5"
"Bureau en Gros - Rimouski","48.4533936","-68.4888337"," 418-724-7033 ","G5M 1X1"
"Les Entreprises J.M. Arsenault 1982","48.0516986","-65.5053277"," 418-534-3995 ","G0C 1E0"
"Best Buy - Rimouski","48.4560697","-68.4987544"," 418-731-2933 ","G5M 1Y1"
"Garage municipal de Bonaventure","48.0499062","-65.483629"," 418-534-2990 ","G0C 1E0"
"Centre Électronique St-Siméon","48.0461956","-65.4951565"," 418-534-3281 ","G0C 1E0"
"Info-Média Rimouski","48.4492105","-68.5245823"," 418-725-3464 ","G5L 5J2"
"Micro Data Informatique","48.449079","-68.5312403","  ","G5L 5P7"
"Garage municipal de La Matapédia","47.9752124","-66.9410995"," 418-865-2917 ","G0J 1V0"
"Matériaux secs Canton de Hope","48.0601583","-65.2369394","  ","G0C 2K0"
"Garage municipal de Saint-Alexis-de-Matapédia","47.9726132","-67.053659"," 418-299-2030 ","G0J 2E0"
"Bureau municipal Forestville","48.7384794","-69.0767728"," 418-587-2285 ","G0T 1E0"
"Garage municipal de Saint-François-d'Assise","47.9774785","-67.1860326"," 418-299-2066 ","G0J 2N0"
"Garage municipal de Paspébiac","48.0325931","-65.2526091"," 418-752-2277 ","G0C 2K0"
"Écocentre Rimouski","48.4085339","-68.5719911","  ","G5L 8Y9"
"Garage municipal l'Ascension-de-Patapédia","47.9327954","-67.2497564","  ","G0J 1R0"
"Garage municipal de Portneuf-sur-Mer","48.615932","-69.101622"," 418-238-2642 ","G0T 1P0"
"Écocentre régional de Portneuf-sur-Mer","48.6188086","-69.1761488"," 418-238-2642 ","G0T 1P0"
"Bureau municipal Longue-Rive","48.615007","-69.6892429"," 418-231-2344 ","G0T 1Z0"
"Garage municipal de Les Escoumins","48.3513967","-69.4071115"," 418-233-2766 ","G0T 1K0"
"Conciergerie Kaminunakutat","48.3342342","-69.3968789"," 418-233-2766 ","G0T 1K0"
"Écocentre Les Bergeronnes","48.3037403","-69.4536913","  ","G0T 1G0"
"Récupération des Basques","48.1192674","-69.1652622"," 418-851-1366 ","G0L 4K0"
"Garage municipal de Les Bergeronnes","48.2425666","-69.5448519"," 418-232-6244 ","G0T 1G0"
"Écocentre de Natashquan","50.222382","-61.862607"," 418-538-2732 ","G0G 2E0"
"Écocentre de Saint-Hubert-de-Rivière-Du-Loup","47.851927","-69.1548715"," 888-856-5552 ","G0L 3L0"
"Garage municipal de Sacré-Cœur","48.2296618","-69.8006329"," 418-236-4621 ","G0T 1Y0"
"Garage municipal de Tadoussac","48.1454699","-69.7156647"," 418-235-4446 ","G0T 2A0"
"Écocentre Secteur Témiscouata-sur-le-Lac, quartier Cabano","47.6833333","-68.8833333","  ","G0L 1E0"
"Solutions Témis","47.5482174","-68.6495184"," 418-853-2359 ","G5T 1L1"
"Écocentre Secteur Dégelis","47.6014659","-68.8310293","  ","G5T 1V7"
"Écocentre du Secteur Squatec","47.5892267","-68.8088156","  ","G5T 1V7"
"Écocentre Petit-Saguenay","48.2169095","-70.0779687","  ","G0V 1N0"
"Informatika","47.8352293","-69.5369973","  ","G5R 1E2"
"Écocentre de Rivière-du-Loup","47.8196653","-69.5236263"," 418-856-2628 ","G5R 3P9"
"Écocentre Anse-Saint-Jean","48.2333333","-70.2"," 418-272-2633 ","G0V 1J0"
"Ressourcerie Saint-David-de-Falardeau","48.638031","-71.111281","  ","G0V 1C0"
"Derytelecom","48.3382382","-70.8824591","  ","G7B 2N6"
"Canadian Tire - La Baie no 335","48.3361627","-70.8987896"," 418-544-8291 ","G7B 3Z3"
"Écocentre de La Baie","48.3281639","-70.9002092","  ","G7B 3P6"
"Écocentre Saint-Honoré","48.5250354","-71.0892351"," 418-673-3405 ","G0V 1L0"
"Écocentre Chicoutimi Secteur Nord","48.4527761","-71.0808376","  ","G7G 3N6"
"Blackburn & Blackburn","48.4126293","-71.0526385","  ","G7H 6H1"
"Canadian Tire - Chicoutimi","48.4080035","-71.0549784"," 418-549-5014 ","G7H 4C1"
"Best Buy - Chicoutimi","48.4043941","-71.0553013"," 418-698-6701 ","G7H 4C1"
"IGA Extra - Alimentation Yvon Haché-Électrobac","48.4062961","-71.0586272","  ","G7H 4B8"
"Bureau en Gros - Chicoutimi","48.4038519","-71.0619308"," 418-543-3477 ","G7H 4C2"
"Carrefour environnement Saguenay informatique","48.417683","-71.076451"," 418-698-5160 ","G7L 2B1"
"C.E.S. Informatique","48.4177538","-71.0769231"," 418-698-5160 ","G7J 2B1"
"Centre Hi-Fi Chicoutimi","48.3956767","-71.0686156"," 418-698-6938 ","G7H 7Y2"
"Terrapure Environnement, Installation de Laterrière","48.3405126","-71.0159299"," 418-677-1078 ","G7N 1L9"
"Encreco","48.3926975","-71.071646","  ","G7H 8B3"
"Matrece - Centre de tri de Chicoutimi","48.387251","-71.110271"," 418-549-8074 ","G7K 1J2"
"Saguenay Informatique","48.3867452","-71.1139681"," 418-698-6668 ","G7H 5B1"
"Écocentre du secteur Chicoutimi (Sud)","48.3481383","-71.1060352","  ","G7H 5B1"
"Metro Sagamie Jonquière-Électrobac","48.4029543","-71.170109","  ","G7S 4S9"
"Écocentre Saint-Ambroise","48.5413158","-71.2945265"," 418-672-7089 ","G7P 3A9"
"Bureau en Gros - Jonquière","48.4118382","-71.2104967"," 418-542-1646 ","G7S 5Y5"
"Canadian Tire - Jonquière","48.4100519","-71.2144032"," 418-542-3501 #230 ","G7S 5Y5"
"Écocentre de Jonquière","48.4089923","-71.2290566","  ","G7X 0B7"
"Écocentre Saint-Ludger-de Milot","48.897383","-71.81944"," 418-669-0513 ","G0W 2B0"
"Bureau en Gros - Alma","48.5620243","-71.6390327"," 418-480-1443 ","G8B 6T5"
"Galeries Lac St-Jean - Immostar-Électrobac","48.5340948","-71.6464538","  ","G8B 6V6"
"Écocentre Alma","48.5551445","-71.6660917"," 418-669-0513 ","G8B 1S5"
"Friperie Coderr","48.5388489","-71.6619996"," 418-668-8502 ","G8B 3L1"
"Garage Municipal","48.8014166","-71.9253176"," 418-374-2147 ","G0W 1K0"
"Écocentre Hébertville","48.3357959","-71.6609379"," 418-669-0513 ","G0W 1T0"
"Écocentre des Îles de la Madeleine","47.445707","-61.748915"," 418-986-3100 ","G4T 5B5"
"Best Buy Canada","45.2686415669868","-75.7511392975935"," 613-843-5625"," K2J 4B1"
"Staples","45.27069125","-75.7408525"," 613-825-0457"," K2J 5G5"
"Best Buy","45.372818","-75.7679092"," --"," K2A 1H2"
"Staples Canada","45.7690812","-74.0187345"," 450-436-3708"," J7Y 4Y7"
"Staples Canada/Business Depot","48.9602518","-57.9215742"," 709-634-9500"," A2H 1R4"
"Staples Canada / Business Depot","54.4352447213423","-110.203687906853"," 780-594-7828"," T9M 1Z9"
"Staples Canada Inc.","53.4771725581395","-113.495668837209"," 780-433-4554"," T6J 6Y6"
"American Iron & Metal LP","45.4061455","-75.6080374"," 613-228-9380"," K1B 3V6"
"Bloom Microtech Ltd.","45.4523899","-75.5921304"," 613-748-3567"," K1J 9M1"
"CTOPE","45.4379365","-75.858758"," 819-776-5870"," J8X 1C6"
"Canadian Diabetes Association-Clothesline Program","45.409729","-75.6282127"," 613-746-4633"," K1B 3T7"
"EDI Inc.","45.3358629","-75.801434"," 613-726-3699"," K2H 1B1"
"Envirolaser","45.346287","-75.7040961"," 613-225-4726"," K2E 7L9"
"Habitat Restore","45.330019","-75.7249127"," 613-744-7769"," K2G 0A7"
"Industry Canada - Computers for Schools Program ","45.4379365","-75.720871"," 613-998-1804"," J8X 1C6"
"Office Equipment Specialists","45.4333192","-75.6712286"," 613-747-1070"," K1L 6E8"
"Progressive Waste Solutions Inc.","45.3827919","-75.6024855"," 613-737-7662"," --"
"Right Stop Computer Shop Inc.","45.4197951","-75.6999233"," 613-567-4015"," K1P 1H1"
"Salvation Army (Innes)","45.4558462","-75.5082483"," 613-830-2783"," K1C 6V3"
"Salvation Army (Montreal Road)","45.4379107","-75.6595532"," 613-842-3938"," K1L 6B4"
"Salvation Army (Moodie Drive)","45.3256352","-75.8381915"," 613-726-8891"," K2H 9G1"
"Salvation Army (Ogilvie Road)","45.4519604","-75.6004714"," 613-745-2881"," K1J 9M7"
"Salvation Army (Richmond Road)","45.3619503","-75.7927047"," 613-726-7136"," K2B 6S1"
"Satanda Solutions","45.2561091","-75.7303596"," 613-230-3923"," K2J 4X6"
"Tomlinson Industrial Waste","45.3037093","-75.5636287"," 613-822-2700"," K1G 3N4"
"Valoritec","45.4960221","-75.7064793"," 819-568-2020"," --"
"Value Village","45.3604251","-75.740539"," 613-288-1390"," K2G 3H7"
"illFixit Wireless","45.2958157","-75.8956709"," 613-867-0695"," K2L 1V6"
"Computation Ltd.","43.6312759","-79.5228315","4169104358"," M8Z 5Y2"
"Montage Support Services","43.691796","-79.4428964","4167809630"," M6E 2X1"
"Howard TV Stereo and Video Centre","43.742428","-79.4370869"," 416-636-4822"," M3H 5V1"
"Evergreen Brick Works","43.6851471","-79.3769237","4165961495"," M4W 3X8"
"Henry's","43.652853","-79.3775295","4168680872"," M5C 2G5"
"GFL Environmental Inc.","43.6441161","-79.3581469"," 4164062040 ext 4244"," M5A 3L2"
"Best Buy Canada - Bay & Dundas (Toronto Eaton Centre)","43.655899","-79.382831"," (416) 642-8321","M5G 2C3 "
"Staples (University)","43.653369","-79.387381","","M5G 1W8 "
"Staples (Front Street East)","43.651182","-79.364368"," 416-368-3331","M5A 1E9 "
"Staples (Gerrard Square)","43.668737","-79.338388","","M4M 3G6 "
"Salvation Army - Toronto Parkdale Thrift Store","43.640178","-79.437917"," 416-536-3361","M6R 1A1 "
"Best Buy Canada - Leaside (Laird Dr)","43.709457","-79.363108"," (647) 777-3196","M4G 4K1 "
"Best Buy - Yonge & Eglinton (Yonge Street)","43.710766","-79.399188"," (416) 489-4726","M4P 2H4 "
"Staples (Stock Yards)","43.670115","-79.466672","","M6N 3E4 "
"SELF Solutions Lab","43.6964695","-79.446552"," 416-558-7035","M6E 2H4 "
"Staples (Eglinton Avenue)","43.71764394","-79.34514999"," 416-696-0043","M4G 4B5 "
"Staples (Danforth Avenue)","43.690334","-79.291553"," 416-686-4711","M4C 1M9 "
"Staples (Dufferin Street)","43.716784","-79.455439"," 416-785-5335","M6A 2T1 "
"Delow Public School 2017","43.745444","-79.362679"," 6478882796","M3B 1P7 "
"Best Buy Canada - Downsview (Wilson Ave)","43.733216","-79.452968"," (416) 635-6574","M3K 1E3 "
"Salvation Army - Toronto Weston Thrift Store","43.702639","-79.503621"," 416-247-0505","M9N 2R8 "
"Salvation Army - Scarborough West","43.727611","-79.287963"," 416-752-2929","M1L 2L6 "
"Staples (Scarborough South)","43.728126","-79.286089","","M1L 2M6 "
"2354905 Orion Computer and Electronics","43.578078625464364","-79.6493929624557"," 9058049488","L5C 1T7 "
"Teletime Superstore","43.566037","-79.640109"," 905-455-1666","L5C 1W1 "
"Advance Micro Trade Inc.","43.62504961","-79.65714255"," 9057124321","L4Z 1N8 "
"Tammimi.inc","43.600448","-79.593492"," 905-275-9050","L4Y 4H5 "
"Staples (Heartland)","43.610094","-79.693069","","L5V 2P5 "
"Best Buy Canada - Heartland (Mavis Rd)","43.61420533","-79.69602585"," (905) 361-8251","L5R 4G6 "
"Salvation Army - Mississauga Streetsville Thrift Store","43.579852","-79.711202"," 905-821-2598","L5M 1L9 "
"Salvation Army - Mississauga Thrift Store","43.61241097","-79.58013296"," 905-270-6275","L4X 1L4 "
"Best Buy Canada - Sherway (North Queen St)","43.617578","-79.556178"," (647) 288-2300","M9C 1A7 "
"Staples (Winston Churchill Boulevard)","43.522279","-79.681166"," 905-829-1960","L6H 6J5 "
"Best Buy Canada - Oakville (Winston Park Dr)","43.51687","-79.684605"," (905) 829-2034","L6H 7E5 "
"Best Buy - Winston Churchill (Argentia Road)","43.599656","-79.777021"," (905) 285-9948","L5N 0A2 "
"Staples (Argentia)","43.596629","-79.786451","","L5N 8E1 "
"Habitat ReStore Bramtpon","43.686646","-79.725663"," 905 455 0883","L6W 3N3 "
"Red Leaf Packaging Inc.","43.690454","-79.719823"," 9054528880","L6W 3L2 "
"DigitalFire Computing Inc.","43.460526","-79.682075"," 9058455959 ext 20","L6J 2X6 "
"Staples (Fairview Street)","43.337343","-79.811264"," 905-637-1422","L7S 2K4 "
"Burlington Camera Inc.","43.339515","-79.786902"," 905-632-7722","L7R 3M2 "
"C-A Building Products Limited","43.341625","-79.814103"," 905-634-7707","L7R 3T1 "
"Salvation Army - Burlington Thrift Store","43.352098","-79.790788"," 905-633-8762","L7N 3L1 "
"Best Buy Canada - Burlington (Brant St)","43.34259576","-79.82854843"," (905) 332-4758","L7P 5C6 "
"Hills video productions","43.3534142","-79.8083118"," 9053351146","L7P 1A5 "
"Staples (Davidson Court)","43.356745","-79.808056"," 905-332-1071","L7M 4X7 "
"Halton Region","43.319121","-79.8536689999999"," 9058256000 ext 8231","L7P 5C4 "
"1203540 A Wintronic Computers Inc.","43.365233","-79.780894"," 9053336637","L7L 4X8 "
"Recycling Revisited","43.307996621072604","-79.8514437675476"," 905-318-9566","L7T 2B8 "
"Telecom Computer","43.379418","-79.765546"," 9053339621 ext 248","L7L 5L4 "
"Habitat Restore Halton","43.390942","-79.786473","","L7L 6A1 "
"Staples #439","43.264033","-79.865541"," 905-547-4778","L8H 2V4 "
"Society of Saint Vincent de Paul","43.241817","-79.78975"," 289-682-5970","L8H 5X2 "
"Salvation Army - Hamilton Downtown Thrift Store","43.256134","-79.867305"," 905-388-6876","L8N 1A5 "
"2013 Kenora Transfer Station - City Of Hamilton","43.242665","-79.76361","",""
"1520818 Ontario Inc","43.23689759","-79.75201313"," 905-578-3888","L8E 3A2 "
"A-1 TV","43.229133","-79.794805"," 9055453588","L8K 1X7 "
"Salvation Army (South Service Road)","43.41459518","-79.73500371"," 905-825-9208","L6L 5M9 "
"Knights Of Columbus Council 12453","43.223779","-79.861703"," 905-308-2918","L8V 2H7 "
"2013 Dundas Transfer Station - City Of Hamilton","43.27024","-79.936878","",""
"Salvation Army - Hamilton Mountain Thrift Store","43.226507","-79.882488"," 905-388-6876","L9C 3A3 "
"Staples (Upper Wentworth Street)","43.218567","-79.864207"," 905-383-7913","L9A 4V8 "
"Staples (Golf Links Road)","43.228156","-79.939056"," 905-648-6047","L9K 1L6 "
"Best Buy Canada - Ancaster (Martindale Crescent)","43.227479","-79.944938"," (905) 304-7624","L9K 1J9 "
"2013 Mountain Transfer Station - City Of Hamilton","43.188168","-79.844495","",""
"Best Buy Canada - Hamilton (Stone Church Rd)","43.19335035","-79.81249809"," (905) 667-1633","L8J 0B4 "
"Ancaster Computer Products","43.2269369","-79.97625525"," 905-648-0101","L9G 4S4 "
"The Regional Municipality of Niagara","43.136192906229915","-79.5686531066894"," 9053564141","L3M 1A1 "
"West Lincoln Community Care","43.10085753741053","-79.5350074768066"," 9059575882","L0R 2A0 "
"Southwestern Ontario Youth for Christ","43.15491738707388","-79.3959403038024"," 9059881331","L0R 2C0 "
"Best Buy Canada -St. Catharines (Vansickle Rd)","43.152333","-79.270399"," (905) 378-0333","L2R 6P9 "
"Hartbridge Environmental Inc","42.990636","-79.2400285"," 289-723-2656","L3B 2L3 "
"Staples (Niagara Street North)","43.014883","-79.249741"," 905-714-7607","L3C 5Z4 "
"613 Royal Canadian Army Cadets","43.040837","-79.295198"," 9058928208","L0S 1E0 "
"Future Waste Recycling Facilities Inc.","43.042682","-79.198576"," 905-384-4459","L0S 1K0 "
"The Salvation Army-Port Colborne","42.886448","-79.247637"," 9058344971","L3K 3E9 "
"Staples (Morrison Street)","43.104103","-79.115021"," 905-358-0650","L2E 7K5 "
"Renewed Computer Technologies - Ontario","43.159079","-79.209487"," 9057955201","L2P 3G8 "
"Habitat Restore Niagara","43.165136","-79.209576"," 905 685 7365","L2P 3G5 "
"Seniors for Youth Niagara","43.166559","-79.205249","","L2R 7K6 "
"Crystal Ridge Community Church","42.86866736776782","-79.0657925605773"," 9058946922","L0S 1B0 "
"Waste Management of Canada Corporation","43.17488801771465","-79.1990661621093"," 905-687-9605 ext 229","L2M 6T6 "
"Modern Corp","43.14276904621844","-79.0898466110229"," 905-262-6000","L2E 6S4 "
"Salvation Army - St. Catharines Thrift Store","43.187909","-79.231893"," 905-934-4599","L2N 6T4 "
"The Salvation Army - Fort Erie","42.92529929","-78.92099314"," 9058719433","L2A 2P1 "
"Haldimand County","42.96069392525085","-79.6568870544433"," 9053185962 ext 603","N1A 2X5 "
"Websecure Technologies Inc.","42.971151","-80.120933"," 905-768-8891","N0A 1H0 "
"Wardell TV & Appliance","42.971151","-80.120933"," 905-768-1030","N0A 1H0 "
"Schott Furniture","42.849383482639865","-80.3116035461425"," 5194260270","N3Y 5C6 "
"Modern Auto Parts Limited","43.003015142179585","-80.3568363189697"," 5194438632","N0E 1R0 "
"County of Brant","43.05471544637893","-80.2938365936279"," 5194492451 ext 2258","N0E 1K0 "
"The Corporation of the City of Brantford","43.12557564496282","-80.2253651618957"," 5197591350","N3T 5L9 "
"Salvation Army - Brantford Thrift Store","43.139707","-80.259421"," 519-758-0699","N3T 2J6 "
"Delhi Radio Limited","42.85405683","-80.4967014"," 5195820280","N4B 1V8 "
"Best Buy - Brantford (Lynden Road)","43.174232","-80.237044"," (519) 758-1911","N3R 7J9 "
"St. Mark's Anglican Church","43.1774543","-80.26594162"," 226-388-8084","N3R 5S5 "
"Virtual Micro Technology","42.999936","-81.238373"," 5196792922","N5Y 3J1 "
"Family Values Thrift Shop","43.001793","-81.186365"," (519) 601-8300","N5W 3E3 "
"Best Buy Canada - North London (Richmond St)","43.028618","-81.283722"," (519) 963-8494","N5X 3Y2 "
"Best Buy Canada - London (Wellington Rd)","42.933409","-81.222818"," (519) 686-2160","N6E 1M2 "
"Salvation Army - London Thrift Store","43.0052748","-81.17287159"," 519-451-0178","N5V 1P5 "
"Dynamex Canada","43.029811876755936","-81.1540102958679"," 5194575841","N5V 3Z9 "
"Granite Computer Solutions","43.104345","-81.295334"," 5196663478","N0M 2A0 "
"Oneida Nation of the Thames","42.810283","-81.370473"," 5196526922","N0L 2G0 "
"City of St. Thomas","42.792835","-81.163365"," 519-631-1680","N5P 4L1 "
"Bibles for Missions","42.777137","-81.175752"," 5196337300","N5R 4M3 "
"Downtown Sound Again","42.958566","-81.624236"," 519-246-1636","N7G 1X5 "
"Melbourne Lions","42.81578746393343","-81.550623178482"," 5197090926","N0L 1T0 "
"Oxford County","43.015319","-80.765977"," 5195399800 ext 3114","N0J 1W0 "
"Bluewater Recycling Association","43.28881148","-81.49520874"," (519) 228-6678","N0M 1Y0 "
"Municipality of North Middlesex E-Waste Depot","43.172391","-81.691362"," 519-228-6678 Ext. 221",""
"South Huron Office Solutions","43.34391353","-81.46911332"," 519-235-1840","N0M 1S1 "
"Tillsonburg District Craft Guild","42.862311","-80.730395"," 5198426151","N4G 3V3 "
"Staples (Broadway St)","42.862259","-80.72952"," 519-688-2196","N4G 5A7 "
"Municipality of Southwest Middlesex","42.73238738525821","-81.6812896728515"," 5192872015","N0L 1M0 "
"St. Charles School Parent Council","42.75236952945268","-81.7108583450317"," 5192891174","N0L 1M0 "
"Home Hardware - Stratford","43.35535961","-80.95801592","","N5A 6S5 "
"Corporation of the City of Stratford","43.365789","-80.963075"," 5192710250 ext 279","N5A 4V1 "
"Best Buy - Chatham (St. Clair Street)","42.433584","-82.222912"," (519) 354-5525","N7M 5J7 "
"Municipality of Chatham-Kent","42.37908992997953","-82.0864105224609"," 5193601998 ext 3312","N0P 1A0 "
"BOWMAN FEEDS LTD","42.09577044961218","-82.4587869644165"," 5198254122","N0P 2P0 "
"Society of Saint Vincent de Paul – Windsor Essex Central Council","42.201707","-82.7174859"," 519-253-7481","N0R 1V0 "
"Recycle City","42.297848","-83.0421125"," 5192559278","N8X 1H7 "
"Greater Essex County District School Board","42.25949","-83.026817"," 5199807737","N9E 1J2 "
"Goodwill Attended Donation Centre","42.337991","-82.946729"," 519-946-0584",""
"Rotary Club of LaSalle-Centennial","42.24702505486672","-83.0605888366699"," 5199960122","N9H 1S4 "
"Best Buy Canada - Windsor (Walker Rd)","42.25787297","-82.96849251"," (519) 967-2070","N8W 3T6 "
"BFI Canada Inc - Maidstone","42.2424343809344","-82.9470348358154"," 4168563166","N0R 1K0 "
"Canadian Transfer Inc.","42.175044919344565","-82.8493595123291"," 5198165300","N8M 2Y3 "
"376964 Ontario LTD. - 612031 Ontario LTD","42.971789","-82.40716"," 519-337-3779","N7T 7L7 "
"BLUEWATER TEK CENTRE","42.985218","-82.383857"," 519-491-2155","N7T 5P7 "
"Trash Taxi of Canada Inc.","42.959136","-82.36018"," 519-344-1963","N7S 6K8 "
"Best Buy - Sarnia (Exmouth Street)","42.984573","-82.353664"," (519) 542-4388","N7S 3X9 "
"Town of Plympton-Wyoming","42.936182","-82.164958"," 5198453939","N0N 1T0 "
"Staples (Strasburg Road)","43.424399","-80.489157"," 519-571-7420","N2E 3W7 "
"Salvation Army - Kitchener Thrift Store","43.434562","-80.517647"," 519-584-0818","N2M 5K2 "
"Staples Kitchener","43.428572","-80.454857","","N2N 0B1 "
"Thrift Magic LP","43.42176","-80.460974"," 5197444300","N2C 2H5 "
"J&S Auto Wreckers Ltd","43.418638","-80.453292"," 519-894-1450","N2C 1K9 "
"Best Buy Canada - Kitchener (Fairway Rd)","43.423541","-80.435485"," (519) 783-0333","N2C 1X2 "
"Gibson Sound and Vision","43.482822","-80.523928"," 5197468030","N2J 3J6 "
"Quantex Technologies Inc.","43.407131","-80.4688765"," 5197485348","N2E 3E1 "
"Best Buy - Waterloo (King Street North)","43.501484","-80.532991"," (519) 886-1073","N2L 6L3 "
"Staples (King Street North)","43.5049","-80.536868"," 519-888-1716","N2J 4G8 "
"Bye Bye Electronics","43.455898","-80.338691"," 519-650-0583","N3H 4R7 "
"Staples (Pinebush Road)","43.408477","-80.326114"," 519-622-5280","N1R 8K5 "
"Best Buy Canada- Cambridge","43.408511","-80.325926"," 519-621-4438","N1R 8K5 "
"Power Line Electronics","43.544671","-80.305429"," 5198361157 ext 22","N1H 7M1 "
"St. Vincent De Paul","43.358378","-80.293596","","N1R 6G5 "
"Salvation Army - Guelph","43.55158074","-80.29617548"," 519-836-6316","N1H 8J1 "
"Habitat for Humanity Wellington County / Restore","43.550063","-80.280152"," 519-780-2323","N1H 1A7 "
"Habitat Restore Guelph","43.546318","-80.274936","","N1H 1B1 "
"Best Buy - Guelph (Stone Road West)","43.520176","-80.233418"," (519) 766-4660","N1G 5L4 "
"St. Vincent du Paul","43.549429","-80.239985","","N1E 2X0 "
"City of Guelph","43.55775438","-80.20294189"," 519-767-0598","N1L 1E4 "
"Best Buy Canada - Brampton (Peel Ctr Dr)","43.71510047","-79.72057343"," (905) 494-2179","L6T 3R5 "
"chinguacousy lions club","43.730476","-79.820479"," 416-708-3430","L7A 1R2 "
"ATL Adventure Services Ltd","43.758933","-79.697553"," 647-713-7117","L6S 5P6 "
"David Suzuki SS","43.663909","-79.801657"," 9054577941","L6X 0Z3 "
"Staples (Rexdale)","43.719612","-79.594219","","M9W 7J9 "
"Salvation Army - Etobicoke North Thrift Store","43.729487","-79.575189"," 416-746-3500","M9W 4L6 "
"MAAS CANADA INC","43.738287","-79.565767"," 647-769-9755","M9V 2X6 "
"Guyer Auto Recycling","43.883579","-79.838355"," 9055842292","L7C 3C4 "
"Best Buy - Weston (Weston Road)","43.711866","-79.535348"," (416) 242-6162","M9N 3V8 "
"Township of Perth East","43.36911909","-80.83843231","","N0B 2P0 "
"Riverstown Waste Facility","43.922672","-80.672975"," 519-837-2601","N0G 2E0 "
"Rothsay Waste Facility","43.821294","-80.729634"," 519-837-2601","N0G 2P0 "
"Corporation of the Municipality of South Bruce","44.026026114234604","-81.1100006103515"," 5193926623","N0G 2J0 "
"The Arthur Door","43.836718","-80.541188"," 5198485900","N0G 1A0 "
"Township of Southgate","44.162365","-80.849067","","N0G 1R0 "
"Healthy Computers","44.154528","-81.012189"," 5195066060","N4N 1S2 "
"Habitat ReStore Walkerton","44.114467","-81.159968"," 519-364-5100","N2Z 2A2 "
"Healthy Computers Wingham","43.88969","-81.31017"," 519-357-4263","N0G 2W0 "
"Municipality of Grey Highlands","44.21603219147744","-80.5817127227783"," 5199861216 ext 238","N0C 1E0 "
"Municipality of Brockton","44.098963","-81.285665"," 5198812223 ext 25","N0G 2V0 "
"Highlands youth for Christ","43.889133","-80.31609"," 2262000747","L0N 1G0 "
"Bibles For Missions Owen Sound","44.575574","-80.907862"," 5194167780","N4K 5N3 "
"Byers Disposal Service Ltd.","44.59407336843087","-80.8911323547363"," 5193721959","N0H 1B0 "
"Habitat for Humanity Owen Sound ReStore","44.547798","-80.853876"," (519) 371 6776","N4K 5W4 "
"Municipality of Georgian Bluff","44.64365101691961","-81.1203861236572"," 5193762729 ext 221","N0H 1P0 "
"Municipality of Arran-Elderslie","44.480221","-81.145103"," 5193633039 ext 35","N0H 2N0 "
"Township of Chatsworth","44.38656882676517","-80.9454631805419"," 5197943232","N0H 1G0 "
"The Governing Council of The Salvation Army in Canada","44.743178","-81.141013"," 5195345799","N0H 2T0 "
"Chippewas of Nawash","44.743178","-81.141013"," 5195341036","N0H 2T0 "
"Town of South Bruce Peninsula","44.631227","-81.266459"," 5195341400","N0H 2G0 "
"Habitat for Humanity - Meaford Site","44.613583","-80.604923"," 519 371 6714",""
"Town of Saugeen Shores","44.47960548767628","-81.3341903686523"," 5198322008","N0H 2C0 "
"767091Ontario LTD","44.491875","-81.374272"," 519-797-3905","N0H 2L0 "
"Town of The Blue Mountains","44.53685226067525","-80.4673647880554"," 519-599-3131 ext 238","N0H 1J0 "
"Township of Ashfield-Colborne-Wawanosh","43.892043","-81.622652"," 5195244669","N0M 1R0 "
"Township of Huron-Kinloss","44.063659907945485","-81.6133117675781"," 519-395-3735 ext 133","N0G 2R0 "
"Habitat for Humanity - Goderich","43.727869","-81.685884","","M7A 3X8 "
"432398 Ontario Ltd.","43.581145","-81.527616"," 519-482-9414","N0M 1L0 "
"Ram's Miracle","44.381761","-79.698724"," 7057264605","L4N 2G9 "
"Staples - Barrie Bayfield","44.412058","-79.709689"," 705-735-4058","L4M 4Z9 "
"City of Barrie Landfill Site","44.390286","-79.732361"," 705-739-4219","L4M 4T5 "
"Staples (Barrie View Drive)","44.337815","-79.687775"," 705-733-3329","L4N 8V4 "
"Staples (Keswick)","44.228886","-79.447615","","L4P 3E9 "
"The Bodyworks And Collision Centre","44.5877776757586","-79.8713994026184"," 705-322-2282","L0L 1P0 "
